Altium Designer Pick and Place Locations
C:\Users\Engrj\Desktop\Austindetz_CM4_Carrier_Design (Jan10,2024)\Altium Design Files\Project Outputs for Austindetz_CM4_Board_v1.0\Pick Place for Austindetz_CM4_Board_v1.0.txt

========================================================================================================================
File Design Information:

Date:       11/01/24
Time:       20:45
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment               Layer       Footprint                     Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                     
C88        Capacitor             BottomLayer C-0402/1005                   922.861       5378.051      180      Capacitor                                                                                                                                                                       
R33        nf                    BottomLayer R-0402/1005                   1077.784      4236.795      180      "RES SMD 1K OHM 1% 1/16W 0402"                                                                                                                                                  
R32        nf                    BottomLayer R-0402/1005                   1077.784      4200.579      180      "RES SMD 1K OHM 1% 1/16W 0402"                                                                                                                                                  
C153       0.1uF                 BottomLayer C-0402/1005                   958.653       4301.471      180      "CAP CER 0.1UF 16V X7R 0402"                                                                                                                                                    
A1         ENS220S-BLGT          BottomLayer XDCR_ENS220S-BLGT             960.880       4228.681      180      "Board Mount Pressure Sensors ENS220S-BLGT LGA10 T&R 3K5 - Premium accuracy barometric pressureand temperature sensor for activitytracking and indoor navigation /localization" 
J16        "Header 1x3"          TopLayer    PIN_HEADER_1x3_2.54mm         259.910       579.984       180      "CONN HEADER VERT 3POS 2.54MM"                                                                                                                                                  
R129       4.7K                  TopLayer    R-0402/1005                   2661.015      1662.858      270      "RES SMD 1K OHM 1% 1/16W 0402"                                                                                                                                                  
R127       4.7K                  TopLayer    R-0402/1005                   2770.592      1662.858      270      "RES SMD 1K OHM 1% 1/16W 0402"                                                                                                                                                  
R125       4.7K                  TopLayer    R-0402/1005                   2366.187      1662.858      270      "RES SMD 1K OHM 1% 1/16W 0402"                                                                                                                                                  
R123       DNP                   TopLayer    R-0402/1005                   2366.187      1575.253      270      "RES SMD 1K OHM 1% 1/16W 0402"                                                                                                                                                  
R121       4.7K                  TopLayer    R-0402/1005                   2403.145      1662.858      270      "RES SMD 1K OHM 1% 1/16W 0402"                                                                                                                                                  
R119       4.7K                  TopLayer    R-0402/1005                   2512.722      1662.858      270      "RES SMD 1K OHM 1% 1/16W 0402"                                                                                                                                                  
R116       4.7K                  TopLayer    R-0402/1005                   2697.671      1662.858      270      "RES SMD 1K OHM 1% 1/16W 0402"                                                                                                                                                  
R114       DNP                   TopLayer    R-0402/1005                   2880.462      1575.557      270      "RES SMD 1K OHM 1% 1/16W 0402"                                                                                                                                                  
R106       470R                  BottomLayer R-0402/1005                   3890.317      2177.283      0        "RES SMD 51 OHM 0.5% 1/16W 0402"                                                                                                                                                
R104       470R                  BottomLayer R-0402/1005                   3262.492      3699.236      270      "RES SMD 51 OHM 0.5% 1/16W 0402"                                                                                                                                                
D33        TPD4EUSB30DQAR        TopLayer    IC_TPD4EUSB30DQAR             2379.595      2776.205      0        "4-channel ESD solution for SuperSpeed (6 Gbps) USB 3.0 interface 10-USON -40 to 85"                                                                                            
D32        TPD4EUSB30DQAR        TopLayer    IC_TPD4EUSB30DQAR             2379.595      3076.205      0        "4-channel ESD solution for SuperSpeed (6 Gbps) USB 3.0 interface 10-USON -40 to 85"                                                                                            
U14        ST1S10PUR             BottomLayer DFN8_4X4_STM                  1813.697      2298.009      270      "No Description Available"                                                                                                                                                      
L6         SWPA3015S2R2MT        BottomLayer SWPA3015S2R2MT                1835.945      2104.984      0        "FIXED IND 22UH 620MA 350 MOHM"                                                                                                                                                 
C152       22uF                  BottomLayer C-0805/2012                   1939.910      2169.669      90       "CAP CER 10UF 25V X5R 1206"                                                                                                                                                     
C151       22uF                  BottomLayer C-0805/2012                   1940.264      2035.299      270      "CAP CER 10UF 25V X5R 1206"                                                                                                                                                     
C150       10uF                  BottomLayer C-0805/2012                   1708.264      2464.630      180      "CAP CER 10UF 25V X5R 1206"                                                                                                                                                     
C149       10uF                  BottomLayer C-0805/2012                   1842.168      2464.334      0        "CAP CER 10UF 25V X5R 1206"                                                                                                                                                     
C148       0.1uF                 BottomLayer C-0402/1005                   3174.922      1849.862      180      "CAP CER 0.1UF 50V X7R 0402"                                                                                                                                                    
C147       0.1uF                 BottomLayer C-0402/1005                   2507.990      2772.571      0        "CAP CER 0.1UF 50V X7R 0402"                                                                                                                                                    
C146       0.1uF                 BottomLayer C-0402/1005                   2508.922      2922.867      180      "CAP CER 0.1UF 50V X7R 0402"                                                                                                                                                    
C145       0.1uF                 BottomLayer C-0402/1005                   2502.036      3074.106      0        "CAP CER 0.1UF 50V X7R 0402"                                                                                                                                                    
C144       0.1uF                 BottomLayer C-0402/1005                   3861.248      3715.693      180      "CAP CER 0.1UF 50V X7R 0402"                                                                                                                                                    
C143       0.1uF                 BottomLayer C-0402/1005                   3859.639      3956.708      180      "CAP CER 0.1UF 50V X7R 0402"                                                                                                                                                    
C142       0.1uF                 BottomLayer C-0402/1005                   3861.248      3755.456      180      "CAP CER 0.1UF 50V X7R 0402"                                                                                                                                                    
C141       0.1uF                 BottomLayer C-0402/1005                   3858.922      3515.862      180      "CAP CER 0.1UF 50V X7R 0402"                                                                                                                                                    
Y1         ABM8G-25.000MHZ-4Y-T3 TopLayer    XTAL_ABM8G-25.000MHZ-4Y-T3    2994.910      1755.243      90       "25 MHz Â±30ppm Crystal 10pF 60 Ohms 4-SMD, No Lead"                                                                                                                            
