Altium Designer Pick and Place Locations
C:\Users\Engrj\Desktop\10XSDCardReader_08Nov,2023\10X SD CARD READER\Alitum Design Files\Project Outputs for 10X SD CARD READER\Pick Place for 10X SD CARD READER PCB.csv

========================================================================================================================
File Design Information:

Date:       16/11/23
Time:       21:45
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description"
"R75","330R","TopLayer","R-0402/1005","1474.748","1530.551","0","Resistor"
"R74","0R","TopLayer","R-0603/1608","5630.229","1654.418","180","Resistor"
"R73","0R","TopLayer","R-0603/1608","4440.158","1656.347","180","Resistor"
"R72","0R","TopLayer","R-0603/1608","1965.849","1662.960","180","Resistor"
"R71","0R","TopLayer","R-0603/1608","3209.906","1633.211","180","Resistor"
"R70","0R","TopLayer","R-0603/1608","775.074","1677.344","180","Resistor"
"D8","GREEN","TopLayer","LEDC1608X65N","5142.000","1466.000","180",""
"D7","GREEN","TopLayer","LEDC1608X65N","3951.000","1468.000","180",""
"D6","GREEN","TopLayer","LEDC1608X65N","1476.000","1470.000","180",""
"D5","GREEN","TopLayer","LEDC1608X65N","2719.000","1441.000","180",""
"D4","GREEN","TopLayer","LEDC1608X65N","290.000","1483.000","180",""
"C161","0.1uF","BottomLayer","C-0402/1005","5103.988","1531.122","0","Capacitor"
"C160","0.1uF","BottomLayer","C-0603/1608","5098.511","1487.820","0","Capacitor"
"C159","0.1uF","BottomLayer","C-0402/1005","5159.988","1436.122","0","Capacitor"
"C158","0.1uF","BottomLayer","C-0603/1608","5154.511","1391.820","0","Capacitor"
"C157","0.1uF","BottomLayer","C-0402/1005","2683.287","1441.385","0","Capacitor"
"C156","0.1uF","BottomLayer","C-0402/1005","3920.373","1365.322","0","Capacitor"
"C155","0.1uF","BottomLayer","C-0402/1005","1486.833","1368.513","0","Capacitor"
"C154","0.1uF","BottomLayer","C-0603/1608","2678.052","1485.612","0","Capacitor"
"C153","0.1uF","BottomLayer","C-0603/1608","3914.591","1409.622","0","Capacitor"
"C152","0.1uF","BottomLayer","C-0603/1608","1481.527","1412.482","0","Capacitor"
"C151","0.1uF","BottomLayer","C-0402/1005","2754.919","1354.388","0","Capacitor"
"C150","0.1uF","BottomLayer","C-0402/1005","3919.768","1503.830","0","Capacitor"
"C149","0.1uF","BottomLayer","C-0402/1005","1435.031","1455.732","0","Capacitor"
"C148","0.1uF","BottomLayer","C-0603/1608","2749.510","1397.820","0","Capacitor"
"C147","0.1uF","BottomLayer","C-0603/1608","3914.588","1459.910","0","Capacitor"
"C146","0.1uF","BottomLayer","C-0603/1608","1429.511","1499.820","0","Capacitor"
"C145","0.1uF","BottomLayer","C-0402/1005","262.988","1570.122","0","Capacitor"
"C144","0.1uF","BottomLayer","C-0603/1608","257.510","1525.820","0","Capacitor"
"C143","0.1uF","BottomLayer","C-0402/1005","300.912","1405.838","0","Capacitor"
"C142","0.1uF","BottomLayer","C-0603/1608","295.510","1449.820","0","Capacitor"
"C141","1uF","BottomLayer","C-0402/1005","5485.508","1363.390","180","Capacitor"
"C140","1uF","BottomLayer","C-0402/1005","5597.122","1631.012","270","Capacitor"
"C135","1uF","BottomLayer","C-0402/1005","4296.012","1364.878","180","Capacitor"
"C134","1uF","BottomLayer","C-0402/1005","1810.638","1374.000","180","Capacitor"
"C133","1uF","BottomLayer","C-0402/1005","3059.012","1344.878","180","Capacitor"
"C131","1uF","BottomLayer","C-0402/1005","614.012","1369.878","180","Capacitor"
"C129","1uF","BottomLayer","C-0402/1005","4408.122","1635.012","270","Capacitor"
"C127","1uF","BottomLayer","C-0402/1005","1925.122","1635.012","270","Capacitor"
"C117","1uF","BottomLayer","C-0402/1005","3179.122","1604.012","270","Capacitor"
"C116","1uF","BottomLayer","C-0402/1005","746.000","1652.638","270","Capacitor"
"C107","0.1uF","TopLayer","C-0402/1005","5352.600","1801.282","270","Capacitor"
"C101","0.1uF","TopLayer","C-0402/1005","5389.171","1801.282","270","Capacitor"
"C99","0.1uF","TopLayer","C-0402/1005","4152.209","1812.318","270","Capacitor"
"C97","0.1uF","TopLayer","C-0402/1005","1686.300","1818.528","270","Capacitor"
"C95","0.1uF","TopLayer","C-0402/1005","2931.111","1770.685","270","Capacitor"
"C93","0.1uF","TopLayer","C-0402/1005","494.452","1837.347","270","Capacitor"
"C91","0.1uF","TopLayer","C-0402/1005","4189.040","1812.123","270","Capacitor"
"C69","0.1uF","TopLayer","C-0402/1005","1722.878","1818.528","270","Capacitor"
"C68","0.1uF","TopLayer","C-0402/1005","2968.958","1770.685","270","Capacitor"
"C35","0.1uF","TopLayer","C-0402/1005","531.308","1837.516","270","Capacitor"
"VCC","Test Points","TopLayer","Test_Point_TH_Round_H0.9,D1.6","1316.000","2328.000","90",""
"TX","Test Points","TopLayer","Test_Point_TH_Round_H0.9,D1.6","1872.000","2693.000","0",""
"SD5","Test Points","TopLayer","Test_Point_TH_Round_H0.9,D1.6","1692.000","2396.000","90",""
"SD4","Test Points","TopLayer","Test_Point_TH_Round_H0.9,D1.6","1739.000","2451.000","90",""
"SD3","Test Points","TopLayer","Test_Point_TH_Round_H0.9,D1.6","1773.000","2385.000","90",""
"SD2","Test Points","TopLayer","Test_Point_TH_Round_H0.9,D1.6","1817.000","2447.000","90",""
"SD1","Test Points","TopLayer","Test_Point_TH_Round_H0.9,D1.6","1829.000","2331.000","0",""
"RX","Test Points","TopLayer","Test_Point_TH_Round_H0.9,D1.6","1933.000","2630.000","0",""
"J19","5-146256-3","TopLayer","TE_5-146256-3","1964.000","2349.000","180","Header; Breakaway; 0.100 x 0.100 in.; PC Board; Dual; 6; 0.025 in.; 0.12 in."
"GND","Test Points","TopLayer","Test_Point_TH_Round_H0.9,D1.6","1316.000","2245.000","90",""
"C22","1uF","TopLayer","C-0402/1005","2032.012","2074.122","180","Capacitor"
"B1","KMR211GLFS","TopLayer","FP-KMR211GLFS-MFG","1412.000","2513.799","180","SWITCH TACTILE SPST-NO 0.05A 32V"
